AsesorVentas; NroDesembolsos;MontoDesembolso;StockClientesJunio;StockClientesJulio;VarClientes;CarteraJun;CarteraJul;VarCartera
Asesor 1;55;473,028;326;346;16;2,113,716;2,309,169;195,453
Asesor 2;33;281,404;264;288;-5;1,549,554;1,647,991;98,437
Asesor 3;6;41,542;104;105;-2;794,637;761,300;-33,337
Asesor 4;1;6,400;3;3; -   ;6,932;11,416;4,484
Asesor 5;9;53,723;128;134;-10;751,411;695,922;-55,489
Asesor 6;19;90,749;184;199;-2;1,061,495;999,983;-61,512
Asesor 7; -   ; -   ;7;2;-5;31,677;21,829;-9,848
Asesor 8;34;272,704;257;258;-6;1,775,825;1,788,121;12,296
Asesor 9;33;354,602;234;246;8;1,808,614;1,979,931;171,317
Asesor 10;38;273,963;291;298;-1;1,526,706;1,571,728;45,022
Asesor 11;30;269,492;266;286;-6;1,800,930;1,840,176;39,246
Asesor 12;22;119,788;167;175; -   ;1,021,344;1,029,638;8,294
Asesor 13;29;423,631;234;241;-1;2,755,052;2,691,315;-63,737
Asesor 14;26;422,386;163;176;-2;2,074,189;2,180,700;106,511
Asesor 15;15;85,815;50;61;8;311,387;380,978;69,591
Asesor 16;25;137,986;254;241;-21;1,745,285;1,651,221;-94,064
Asesor 17;32;305,440;303;313;-6;2,119,921;2,136,883;16,962
Asesor 18;27;188,907;214;210;-11;1,233,489;1,208,258;-25,231
Asesor 19; -   ; -   ;1;1; -   ;2,055;1,953;-102
Asesor 20;16;102,079; -   ;16;16;3;86,484;86,481
Asesor 21;27;207,185;214;224;6;1,435,930;1,466,410;30,480
Asesor 22;15;103,977;203;198;-7;1,180,534;1,101,709;-78,825
Asesor 23;23;186,400;244;266;-1;1,457,601;1,402,162;-55,439
Asesor 24;30;296,999;234;250;10;1,777,258;1,844,166;66,908
Asesor 25;35;336,146;335;355;-5;2,326,789;2,386,133;59,344
Asesor 26;5;3,940; -   ;6;5;4;3,940;3,936
Asesor 27;27;278,983;143;163;7;1,021,517;1,095,063;73,546
Asesor 28;1;1,345;1;3;2;1,136;3,467;2,331
Asesor 29; -   ; -   ;3; -   ;-3;23,476; -   ;-23,476
Asesor 30;35;320,804;322;327;-8;2,265,029;2,313,781;48,752
Asesor 31;31;283,108;332;359;-2;2,591,554;2,643,026;51,472
Asesor 32; -   ; -   ;1;1; -   ;3,945;3,735;-210
Asesor 33;22;226,801;194;198;-5;1,550,590;1,542,608;-7,982
Asesor 34;27;230,873;209;212;-11;962,124;1,051,927;89,803
Asesor 35;27;238,883;256;278;5;2,551,582;2,516,193;-35,389
Asesor 36;37;179,280;217;233;7;1,076,252;1,117,797;41,545
Asesor 37;16;151,500;198;214;-12;1,245,333;1,283,578;38,245
Asesor 38;19;170,450;144;154;-11;1,046,844;1,059,688;12,844
Asesor 39;4;33,000;25;27;1;90,149;111,057;20,908
Asesor 40;27;398,134;271;271;-12;1,621,224;1,704,984;83,760
Asesor 41;31;348,177;477;487;-20;3,056,173;2,927,289;-128,884
Asesor 42; -   ; -   ;22;1;-21;119,461;3,523;-115,938
Asesor 43;32;330,408;219;238;9;2,092,284;2,197,333;105,049
Asesor 44;16;124,311;214;227;-8;1,160,973;1,127,354;-33,619
Asesor 45;26;242,271;229;242;5;1,807,806;1,899,700;91,894
Asesor 46; -   ; -   ;1;1; -   ;3,373;3,319;-54
Asesor 47;30;281,160;233;244;1;1,876,485;1,950,053;73,568
Asesor 48; -   ; -   ;6; -   ;-6;51,390; -   ;-51,390
Asesor 49;23;178,960;226;235;-9;2,473,510;2,436,171;-37,339
Asesor 50;36;202,294;251;256;-2;1,308,211;1,316,920;8,709
Asesor 51;37;117,535;171;201;22;843,966;892,403;48,437
Asesor 52;14;36,036;35;59;7;124,380;143,835;19,455
Asesor 53;53;545,773;420;437;-5;3,295,864;3,385,680;89,816
Asesor 54;27;273,472;263;275; -   ;1,940,614;2,009,027;68,413
Asesor 55;31;205,200;224;243;7;1,415,588;1,466,285;50,697
Asesor 56;45;375,748;286;299;3;2,463,266;2,550,828;87,562
Asesor 57;29;230,796;208;218;4;2,050,542;2,002,775;-47,767
Asesor 58;20;252,257;160;169;1;1,374,648;1,461,656;87,008
Asesor 59;27;212,001;175;191;10;1,841,745;1,823,431;-18,314
Asesor 60; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Asesor 61; -   ; -   ;12; -   ;-12;78,038; -   ;-78,038
Asesor 62;37;355,861;184;195;6;1,341,307;1,420,885;79,578
Asesor 63;24;249,114;151;156;4;1,183,266;1,255,238;71,972
Asesor 64;19;160,022;277;279;-6;1,801,565;1,755,623;-45,942
Asesor 65;5;18,207;93;110;-2;606,896;537,069;-69,827
Asesor 66;39;274,071;282;304;5;1,614,229;1,619,808;5,579
Asesor 67; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Asesor 68;21;146,935;244;269; -   ;1,824,768;1,749,002;-75,766
Asesor 69;17;118,914;186;199; -   ;1,196,332;1,152,829;-43,503
Asesor 70;25;201,850;264;268;-4;1,813,741;1,780,450;-33,291
Asesor 71;24;116,691;191;201;6;856,886;885,611;28,725
Asesor 72;9;51,153; -   ;9;9;3;51,153;51,150
Asesor 73;1;300; -   ;1;1; -   ;300;300
Asesor 74;23;169,766;240;250;-1;1,119,759;1,068,231;-51,528
Asesor 75;9;126,732;94;93;-2;866,609;828,040;-38,569
Asesor 76;23;116,508;221;241;7;1,382,917;1,326,112;-56,805
Asesor 77;29;276,891;191;219;5;1,885,784;2,006,065;120,281
Asesor 78;7;159,408;36;40;4;395,846;533,202;137,356
Asesor 79;32;188,067;259;268;2;1,666,445;1,631,072;-35,373
Asesor 80; -   ; -   ;6;6; -   ;26,756;19,739;-7,017
Asesor 81;27;159,337;241;246;-12;1,417,288;1,345,098;-72,190
Asesor 82;24;331,989;261;276;-2;2,441,248;2,490,670;49,422
Asesor 83;5;24,909; -   ;5;5;1;24,909;24,908
Asesor 84;27;165,272;219;238;3;2,250,752;2,214,782;-35,970
Asesor 85;8;42,000;68;69;-1;303,043;318,835;15,792
Asesor 86;10;116,675;230;244;-21;1,528,512;1,443,508;-85,004
Asesor 87;4;45,167;15;24; -   ;236,567;226,331;-10,236
Asesor 88;1;12,050;6;1;-5;11,637;12,050;413
Asesor 89; -   ; -   ;3;3; -   ;3,714;3,475;-239
Asesor 90;31;220,390;241;254;2;1,632,224;1,564,362;-67,862
Asesor 91;15;84,752;199;211;-3;1,598,361;1,500,545;-97,816
Asesor 92;31;273,730;266;275;1;1,720,568;1,710,663;-9,905
Asesor 93; -   ; -   ; -   ;12; -   ; -   ; -   ; -   
Asesor 94; -   ; -   ;2;2; -   ;2,325;824;-1,501
Asesor 95;34;298,621;436;457;-16;2,894,110;2,784,886;-109,224
Asesor 96;24;132,796;202;212;-2;1,118,553;1,097,952;-20,601
Asesor 97;27;337,848;317;330;-13;2,616,572;2,624,434;7,862
Asesor 98;22;274,763;59;73;14;679,214;860,975;181,761
Asesor 99;30;282,972;269;291; -   ;1,887,385;1,980,033;92,648
Asesor 100;53;327,229;303;320;11;1,788,153;1,869,022;80,869
Asesor 101;24;114,449;261;265;-13;1,304,511;1,229,422;-75,089
Asesor 102;1;15,000;5;5; -   ;48,018;47,234;-784
Asesor 103; -   ; -   ;1;1; -   ;5,246; -   ;-5,246
Asesor 104; -   ; -   ;1;3;-4;5,905;5,850;-55
Asesor 105;50;504,673;370;387;-6;1,803,240;1,985,409;182,169
Asesor 106;54;367,950;288;318;17;1,737,397;1,861,314;123,917
Asesor 107;25;196,440;230;229;-3;1,895,488;1,929,566;34,078
Asesor 108;27;149,949;251;268;2;2,080,635;1,943,317;-137,318
Asesor 109;16;138,473;180;186;-2;1,228,169;1,171,588;-56,581
Asesor 110;24;135,591;120;129;6;475,469;553,271;77,802
Asesor 111;15;160,326;90;100;6;513,020;600,096;87,076
Asesor 112;26;347,096;251;263;5;2,962,580;3,022,068;59,488
Asesor 113;46;328,440;325;347;14;2,401,666;2,470,228;68,562
Asesor 114;26;146,938;279;292;-1;1,866,153;1,711,969;-154,184
Asesor 115;27;271,669;177;190;5;1,924,185;1,928,600;4,415
Asesor 116;3;17,612; -   ;3;3;1;17,612;17,611
Asesor 117;29;335,492;246;261;4;2,121,628;2,199,810;78,182
Asesor 118;17;360,549;131;141;3;1,237,269;1,276,817;39,548
Asesor 119;25;237,514;225;227;-3;1,794,175;1,857,860;63,685
Asesor 120;29;281,560;218;231; -   ;1,903,800;1,854,029;-49,771
Asesor 121;1;6,300; -   ;1;1; -   ;6,300;6,300
Asesor 122;42;265,647;360;410;23;2,075,730;2,195,049;119,319
Asesor 123;37;237,569;323;334;-3;2,820,073;2,753,553;-66,520
Asesor 124;38;297,356;345;353;-3;2,483,072;2,479,149;-3,923
Asesor 125;25;136,105;296;303;-14;1,879,430;1,736,009;-143,421
Asesor 126;23;184,091;264;280;-3;1,960,766;1,937,474;-23,292
Asesor 127;24;220,933;256;272;4;1,857,939;1,875,877;17,938
Asesor 128;26;308,975;279;305;2;1,770,767;1,869,121;98,354
Asesor 129;24;203,229;337;349;-8;2,256,595;2,252,318;-4,277
Asesor 130;27;285,560;193;202;2;1,981,713;2,013,091;31,378
Asesor 131;26;196,466;156;178;-2;1,666,611;1,742,548;75,937
Asesor 132; -   ; -   ;1;1; -   ;170;116;-54
Asesor 133;38;370,807;317;343;7;2,098,105;2,204,315;106,210
Asesor 134; -   ; -   ; -   ;8;-1; -   ; -   ; -   
Asesor 135;17;96,230;310;315;-20;2,469,758;2,380,436;-89,322
Asesor 136; -   ; -   ; -   ;1; -   ; -   ; -   ; -   
Asesor 137;41;279,780;380;383;-5;1,641,975;1,704,021;62,046
Asesor 138;21;99,897;76;90;14;328,957;393,582;64,625
Asesor 139;33;297,188;226;224;-10;1,546,170;1,643,551;97,381
Asesor 140; -   ; -   ; -   ;1; -   ; -   ; -   ; -   
Asesor 141; -   ; -   ; -   ;1; -   ; -   ; -   ; -   
Asesor 142; -   ; -   ; -   ;1; -   ; -   ; -   ; -   
Asesor 143; -   ; -   ; -   ;1; -   ; -   ; -   ; -   
Asesor 144; -   ; -   ; -   ; -   ;-1; -   ; -   ; -   
Asesor 145;50;335,246;299;322;4;2,073,817;2,136,739;62,922
Asesor 146;24;122,267;214;227; -   ;1,593,183;1,590,682;-2,501
Asesor 147;19;161,041;89;94;4;632,294;698,156;65,862
Asesor 148;18;194,757;93;98;5;1,053,919;1,099,808;45,889
Asesor 149;32;350,511;217;229;5;1,489,518;1,588,856;99,338
Asesor 150;42;372,715;242;254;5;2,219,917;2,380,833;160,916
Asesor 151;22;210,147;297;309;-3;1,665,552;1,696,702;31,150
Asesor 152;3;59,063; -   ;3;3; -   ;59,063;59,063
Asesor 153;2;6,000; -   ;1;1; -   ;6,000;6,000
Asesor 154;1;2,400;2;2; -   ;28,690;28,329;-361
Asesor 155;20;300,131;217;223;-5;1,457,001;1,506,288;49,287
Asesor 156; -   ; -   ;12; -   ;-12;40,834; -   ;-40,834
Asesor 157;27;231,537;270;280;-7;1,810,986;1,855,566;44,580
Asesor 158;17;175,264;142;154;1;1,093,959;1,099,199;5,240
Asesor 159;19;124,730;176;182;2;1,514,340;1,565,677;51,337
Asesor 160;22;208,991;268;300;-4;1,427,036;1,405,079;-21,957
Asesor 161;28;151,259;166;181;4;985,060;1,006,505;21,445
Asesor 162;32;262,489;242;250;3;1,467,219;1,519,500;52,281
Asesor 163;27;285,518;207;217;-1;1,687,245;1,706,281;19,036
Asesor 164;31;303,782;215;229;11;2,038,767;2,120,484;81,717
Asesor 165;8;72,400;276;283;-2;1,994,874;1,910,950;-83,924
Asesor 166;31;239,784;246;261; -   ;1,821,011;1,731,961;-89,050
Asesor 167;4;2,809;1;5;4;4,982;7,567;2,585
Asesor 168;20;146,574;244;253;-6;1,947,486;1,897,932;-49,554
Asesor 169; -   ; -   ;4; -   ;-4;11,203; -   ;-11,203
Asesor 170; -   ; -   ;9;9; -   ;5,857;5,262;-595
Asesor 171;24;109,891;197;206;-3;945,223;887,508;-57,715
Asesor 172; -   ; -   ;19;1;-18;62,553;9,086;-53,467
Asesor 173;14;148,927;175;181;-16;1,838,929;1,761,199;-77,730
Asesor 174;32;249,242;290;310;7;1,631,290;1,638,230;6,940
Asesor 175;33;217,576;288;292;-9;1,968,503;1,923,354;-45,149
Asesor 176;21;154,930;199;205;-7;1,369,891;1,340,541;-29,350
Asesor 177;18;215,486;201;202;-7;1,457,538;1,472,665;15,127
Asesor 178;31;162,674;216;218;-4;1,445,263;1,320,080;-125,183
Asesor 179;13;138,537;198;204;-13;2,142,260;2,095,996;-46,264
Asesor 180;32;211,538;285;279;-19;1,433,836;1,471,578;37,742
Asesor 181;19;162,871;238;236;-15;1,689,876;1,599,988;-89,888
Asesor 182;32;442,103;240;261;8;2,285,899;2,337,136;51,237
Asesor 183; -   ; -   ;2;2; -   ;18,710;17,611;-1,099
Asesor 184;35;344,304;247;266;8;2,193,439;2,244,134;50,695
Asesor 185; -   ; -   ;8; -   ;-8;45,562; -   ;-45,562
Asesor 186;25;163,166;245;259;-5;1,503,686;1,446,775;-56,911
Asesor 187;40;314,215;290;315;9;2,045,583;2,155,009;109,426
Asesor 188;43;344,812;241;266;15;1,697,920;1,811,066;113,146
Asesor 189;15;142,230;29;42;12;280,151;408,220;128,069
Asesor 190;1;400;2;2; -   ;3,005;3,130;125
Asesor 191;27;334,743;220;226;3;1,789,164;1,823,489;34,325
Asesor 192;17;173,101;203;205;-5;1,220,307;1,213,455;-6,852
Asesor 193;28;217,496;216;230;3;1,817,923;1,819,708;1,785
Asesor 194;25;265,821;203;214;-3;1,524,168;1,549,997;25,829
Asesor 195;39;162,707;223;231;4;1,646,170;1,612,924;-33,246
Asesor 196; -   ; -   ;1;1; -   ;875;793;-82
Asesor 197;36;179,893;353;366; -   ;2,023,939;2,027,294;3,355
Asesor 198; -   ; -   ;1;2; -   ;5,600;5,458;-142
Asesor 199;22;233,031;247;255;-7;1,395,744;1,448,871;53,127
Asesor 200;26;283,939;222;221;-11;1,675,461;1,677,332;1,871
Asesor 201;33;211,799;189;201; -   ;967,625;1,010,798;43,173
Asesor 202;45;302,781;449;450;-16;2,077,612;2,052,250;-25,362
Asesor 203;24;278,227;211;226; -   ;1,340,363;1,419,826;79,463
Asesor 204;19;119,132;220;231;-10;1,072,378;1,005,736;-66,642
Asesor 205;1;1,000;3;1;-2;66,368;1,000;-65,368
Asesor 206;39;388,592;263;279;8;2,049,692;2,107,010;57,318
Asesor 207;23;197,123;195;221;-5;1,235,117;1,197,594;-37,523
Asesor 208;25;177,602;215;221; -   ;1,673,385;1,639,336;-34,049
